Well #,Season,Name of Village,State as of 2016,lat,long,GPS
1,2005,Akok ,Tonj ,8.554444444444446,29.094166666666666,8.554444444444446 29.094166666666666
2,2005,Pankor,Tonj ,8.616111111111111,29.010555555555555,8.616111111111111 29.010555555555555
3,2005,Moch,Tonj ,8.698611111111111,28.97888888888889,8.698611111111111 28.97888888888889
5,2005,Akuach,Tonj ,8.653055555555557,30.58972222222222,8.653055555555557 30.58972222222222
6,2006,Aliek Primary School,Tonj ,8.593055555555555,28.719444444444445,8.593055555555555 28.719444444444445
7,2006,Makol,Tonj ,8.18888888888889,28.89638888888889,8.18888888888889 28.89638888888889
9,2007,Maluok,Tonj ,8.719166666666666,28.956944444444446,8.719166666666666 28.956944444444446
11,2007,Machar Pakuak,Tonj ,8.653333333333332,55.35,8.653333333333332 55.35
12,2007,Panakot ,Tonj ,8.674722222222224,28.911944444444448,8.674722222222224 28.911944444444448
13,2007,Boul,Tonj ,8.658888888888889,28.979444444444447,8.658888888888889 28.979444444444447
14,2007,Bonwad,Tonj ,8.663055555555555,29.043333333333333,8.663055555555555 29.043333333333333
15,2007,Maper ,Tonj ,8.610555555555557,28.969444444444445,8.610555555555557 28.969444444444445
16,2007,Majak,Tonj ,8.741944444444446,28.877222222222223,8.741944444444446 28.877222222222223
18,2008,Abilnyang,Tonj ,8.601666666666667,28.714166666666667,8.601666666666667 28.714166666666667
30,2009,Lacdiit,Gogrial,8.273611111111112,28.518611111111113,8.273611111111112 28.518611111111113
31,2009,Lacdiit Yiik,Gogrial,8.279166666666667,28.428055555555556,8.279166666666667 28.428055555555556
32,2009,Pan-nhial,Gogrial,8.186388888888889,28.46333333333333,8.186388888888889 28.46333333333333
33,2009,Abei,Gogrial,8.565833333333334,28.57027777777778,8.565833333333334 28.57027777777778
34,2009,Juol,Gogrial,8.474722222222223,28.470277777777778,8.474722222222223 28.470277777777778
35,2009,Machar,Gogrial,8.488888888888889,28.426388888888887,8.488888888888889 28.426388888888887
44,2009,Bahr-Sherki,Wau,7.701944444444445,28.197222222222223,7.701944444444445 28.197222222222223
45,2010,Riangalek-E,Gogrial,8.183055555555555,29.043333333333333,8.183055555555555 29.043333333333333
46,2010,Mayar Ajang,Tonj ,8.473333333333334,28.993055555555554,8.473333333333334 28.993055555555554
47,2010,Mayar Ajang,Tonj ,8.503611111111113,28.967499999999998,8.503611111111113 28.967499999999998
48,2010,Achier,Tonj ,8.455277777777779,28.848055555555558,8.455277777777779 28.848055555555558
50,2010,Wunliet,Tonj ,8.489166666666668,28.772777777777776,8.489166666666668 28.772777777777776
51,2010,Amouthich,Gogrial,8.345277777777778,28.471666666666664,8.345277777777778 28.471666666666664
52,2010,Zagalona (Alelchok),Wau,7.884166666666666,28.092222222222222,7.884166666666666 28.092222222222222
54,2010,Bahr-Sherki ( Eastern Bank),Wau,7.916944444444445,28.258888888888887,7.916944444444445 28.258888888888887
55,2010,Bahr-Sherki,Wau,7.927222222222222,28.05638888888889,7.927222222222222 28.05638888888889
56,2010,Athou,,7.867222222222222,28.09277777777778,7.867222222222222 28.09277777777778
57,2010,Lol Athian,Wau,745.0,28.178611111111113,745.0 28.178611111111113
58,2010,Maker,Gogrial,8.463888888888889,28.81388888888889,8.463888888888889 28.81388888888889
59,2010,Wunngot,Wau,8.24,28.262500000000003,8.24 28.262500000000003
60,2010,Tokyiep,Gogrial,8.454444444444444,28.710833333333333,8.454444444444444 28.710833333333333
61,2010,Wargol,Wau,8.115555555555556,190.25,8.115555555555556 190.25
62,2010,Tiitmayom,Gogrial,8.148333333333333,28.343055555555555,8.148333333333333 28.343055555555555
63,2010,Bar Amiyok,Wau,7.955277777777778,28.269166666666667,7.955277777777778 28.269166666666667
64,2010,Adiet,Wau,8.181944444444444,28.32777777777778,8.181944444444444 28.32777777777778
65,2010,Lojo,Wau,8.008888888888889,28.26777777777778,8.008888888888889 28.26777777777778
66,2010,Wuntim,Gogrial,8.133333333333333,28.37611111111111,8.133333333333333 28.37611111111111
67,2010,Angothol,Wau,7.837777777777778,28.178611111111113,7.837777777777778 28.178611111111113
68,2010,Lelkang,Wau,7.943888888888889,28.345,7.943888888888889 28.345
70,2010,Alab,Wau,7.791388888888889,28.166944444444447,7.791388888888889 28.166944444444447
71,2010, Zerah (Fadali School),Wau,7.933333333333334,28.224166666666665,7.933333333333334 28.224166666666665
72,2010,Abunybuny,Wau,7.768888888888889,28.2475,7.768888888888889 28.2475
74,2010,Eastern Bank Market,Wau,7.757777777777778,28.2025,7.757777777777778 28.2025
75,2010,Sumuot,Wau,7.927222222222222,28.151666666666667,7.927222222222222 28.151666666666667
77,2011,Thattiikmuoc,Tonj ,8.59861111111111,29.0875,8.59861111111111 29.0875
83,2011,Awuol,Tonj ,8.202777777777778,28.80611111111111,8.202777777777778 28.80611111111111
84,2011,Bhol,Wau,7.7636111111111115,28.234444444444446,7.7636111111111115 28.234444444444446
85,2011,Wingo,Wau,8.001944444444444,28.319166666666668,8.001944444444444 28.319166666666668
86,2011,Luonyakeer,Gogrial,8.458055555555555,28.532777777777778,8.458055555555555 28.532777777777778
90,2011,Mabior -Abun Pimary School,Wau,8.15,28.30361111111111,8.15 28.30361111111111
91,2011,Ayibuth,Tonj ,8.427777777777777,28.9675,8.427777777777777 28.9675
92,2011,Manyiel,Tonj ,8.279166666666667,28.87527777777778,8.279166666666667 28.87527777777778
93,2011,Tharakon,Tonj ,8.155555555555557,29.086388888888887,8.155555555555557 29.086388888888887
94,2011,Aguor,Tonj ,8.381944444444445,29.08666666666667,8.381944444444445 29.08666666666667
95,2011,Anaak,Tonj ,8.2625,29.016944444444444,8.2625 29.016944444444444
96,2011,Ayuang,Tonj ,8.328888888888889,29.43166666666667,8.328888888888889 29.43166666666667
97,2011,Angotbuol,Tonj ,8.280555555555555,29.28972222222222,8.280555555555555 29.28972222222222
98,2011,Gangmiir,Tonj ,8.37138888888889,29.26,8.37138888888889 29.26
99,2011,Gormok,Tonj ,8.253888888888888,29.36916666666667,8.253888888888888 29.36916666666667
100,2011,Wunkuel,Tonj ,8.453611111111112,29.49138888888889,8.453611111111112 29.49138888888889
101,2011,Acholok,Tonj ,8.528055555555556,29.269166666666667,8.528055555555556 29.269166666666667
102,2011,Ahoobu,Tonj ,8.470833333333333,29.215,8.470833333333333 29.215
103,2011,Aguoch,Tonj ,8.344722222222222,29.175833333333333,8.344722222222222 29.175833333333333
104,2011,Makuach,Tonj ,8.470277777777778,29.276944444444446,8.470277777777778 29.276944444444446
105,2012,Lualgol Primary School,Gogrial,8.324444444444445,28.498055555555556,8.324444444444445 28.498055555555556
106,2012,Wun Abyei,Gogrial,8.203333333333333,28.341944444444444,8.203333333333333 28.341944444444444
107,2012,Thiou Primary ,Gogrial,8.29361111111111,28.516111111111112,8.29361111111111 28.516111111111112
109,2012,Makuach Rual,Tonj ,8.697222222222223,28.816944444444445,8.697222222222223 28.816944444444445
110,2012,Mabior Duor,Tonj ,8.756666666666666,29.084444444444443,8.756666666666666 29.084444444444443
111,2012,Majok,Tonj ,8.646944444444443,28.98,8.646944444444443 28.98
112,2012,Nyibiir,Tonj ,8.646944444444443,28.931944444444444,8.646944444444443 28.931944444444444
113,2012,Achol Paleu,Tonj ,8.663333333333334,29.043333333333333,8.663333333333334 29.043333333333333
114,2012,Roorngek,Tonj ,8.583333333333334,29.149722222222223,8.583333333333334 29.149722222222223
115,2012,Ruel Marial,Tonj ,8.624444444444444,29.01972222222222,8.624444444444444 29.01972222222222
116,2012,Akok Mawien,Tonj ,8.558611111111112,29.09111111111111,8.558611111111112 29.09111111111111
117,2012,Amentnyang,Tonj ,8.606944444444444,28.98777777777778,8.606944444444444 28.98777777777778
118,2012,Ahoony,Tonj ,8.639444444444445,29.24222222222222,8.639444444444445 29.24222222222222
119,2012,Ariik Agek,Tonj ,8.613888888888889,29.111944444444443,8.613888888888889 29.111944444444443
120,2012,Majaklou,Tonj ,8.684722222222222,29.002222222222223,8.684722222222222 29.002222222222223
121,2012,Amoukou,Tonj ,8.671666666666667,28.858611111111113,8.671666666666667 28.858611111111113
122,2012,Lilmantang,Gogrial,8.535555555555556,28.592222222222222,8.535555555555556 28.592222222222222
123,2012,Chueipuol,Gogrial,8.739722222222222,28.491944444444442,8.739722222222222 28.491944444444442
124,2012,Bokagok,Gogrial,8.574444444444444,28.505,8.574444444444444 28.505
125,2012,Wunachier,Gogrial,8.723055555555556,28.5375,8.723055555555556 28.5375
126,2012,Machar,Gogrial,8.591944444444445,28.534444444444443,8.591944444444445 28.534444444444443
127,2012,Lietnhom Market,Gogrial,8.705555555555556,28.620555555555555,8.705555555555556 28.620555555555555
128,2012,Wunleet,Gogrial,8.754444444444445,28.515,8.754444444444445 28.515
129,2012,Mayomchol,Gogrial,8.608611111111111,28.55027777777778,8.608611111111111 28.55027777777778
130,2012,Ruot,Gogrial,8.503055555555555,28.585277777777776,8.503055555555555 28.585277777777776
131,2012,Lilthieu,Gogrial,8.449166666666667,28.006666666666668,8.449166666666667 28.006666666666668
132,2012,Parieng,Gogrial,8.410277777777779,28.771944444444443,8.410277777777779 28.771944444444443
133,2012,Chueiluel,Gogrial,8.399444444444445,28.801666666666666,8.399444444444445 28.801666666666666
134,2012,Roorchol,Gogrial,8.461944444444445,28.67222222222222,8.461944444444445 28.67222222222222
135,2012,Alongdior,Gogrial,8.381388888888889,28.33666666666667,8.381388888888889 28.33666666666667
136,2012,Haijur,Wau,7.786111111111111,28.130555555555556,7.786111111111111 28.130555555555556
137,2012,Haijur,Wau,7.850277777777778,28.0775,7.850277777777778 28.0775
144,2013,Majok Abuok,Gogrial,8.404166666666667,28.520277777777775,8.404166666666667 28.520277777777775
145,2013,Lueth Buol,Gogrial,8.373333333333333,28.57111111111111,8.373333333333333 28.57111111111111
146,2013,Mangar Ciec,Gogrial,8.231388888888889,28.552777777777777,8.231388888888889 28.552777777777777
147,2013,Atiokpiu,Gogrial,8.340277777777779,28.335,8.340277777777779 28.335
158,2013,Thurbol,Gogrial,8.0,16619.366666666665,8.0 16619.366666666665
160,2013,Gogial Market,Gogrial,8.540555555555555,28.27638888888889,8.540555555555555 28.27638888888889
161,2013,Hai Kubur,Wau,7.881944444444445,28.08416666666667,7.881944444444445 28.08416666666667
162,2013,Hella Jadiit,Wau,7.878055555555556,28.051111111111112,7.878055555555556 28.051111111111112
166,2013,Pan Koot,Gogrial,8.193888888888889,28.496388888888887,8.193888888888889 28.496388888888887
167,2013,Akuocic,Gogrial,8.216666666666667,28.639166666666668,8.216666666666667 28.639166666666668
173,2013,Rum Kueel,Wau,7.885833333333333,28.064722222222223,7.885833333333333 28.064722222222223
174,2013,Hai Kor,Wau,7.950555555555556,28.117500000000003,7.950555555555556 28.117500000000003
175,2013,Sumut,Wau,7.927222222222222,28.151666666666667,7.927222222222222 28.151666666666667
176,2013,Majama,Wau,7.8388888888888895,28.088333333333335,7.8388888888888895 28.088333333333335
177,2013,Majak Amaal,Wau,7.895833333333334,28.13361111111111,7.895833333333334 28.13361111111111
178,2013,Pankot (Komgol Primary School),Tonj ,8.145277777777778,28.561666666666667,8.145277777777778 28.561666666666667
179,2012,Akurbiok,Tonj ,8.219444444444445,28.585277777777776,8.219444444444445 28.585277777777776
180,2013,Majaktit,Tonj ,8.2775,28.49083333333333,8.2775 28.49083333333333
181,2013,Malekabiem,Tonj ,8.227222222222222,2835.1833333333334,8.227222222222222 2835.1833333333334
182,2013,Anguei,Gogrial,8.27361111111111,28.389444444444443,8.27361111111111 28.389444444444443
183,2013,Makerjok,Gogrial,8.29277777777778,28.585277777777776,8.29277777777778 28.585277777777776
184,2013,Malualamuk ,Gogrial,8.300833333333333,28.625833333333333,8.300833333333333 28.625833333333333
185,2014,Awudo,Gogrial,8.250555555555556,28.4575,8.250555555555556 28.4575
186,2014,Kokping,Gogrial,8.866666666666665,27.526944444444442,8.866666666666665 27.526944444444442
187,2014,Titchok,Tonj ,8.344999999999999,28.485,8.344999999999999 28.485
188,2014,Lounoi Primary School,Tonj ,8.344999999999999,28.485277777777778,8.344999999999999 28.485277777777778
189,2014,Kuelakuak Primary School,Tonj ,8.086666666666668,28.70916666666667,8.086666666666668 28.70916666666667
190,2014,Angon,Tonj ,8.181666666666667,28.795277777777777,8.181666666666667 28.795277777777777
191,2014,Ayakakat,Tonj ,8.226944444444445,28.673888888888886,8.226944444444445 28.673888888888886
192,2014,Dhak,Tonj ,8.16777777777778,28.701666666666668,8.16777777777778 28.701666666666668
193,2014,Warrap Town,Tonj ,8.203055555555556,28.68111111111111,8.203055555555556 28.68111111111111
194,2014,Wunchuei,Tonj ,8.331388888888888,28.66,8.331388888888888 28.66
195,2014,Kuelchok,Tonj ,8.245555555555557,28.827777777777776,8.245555555555557 28.827777777777776
196,2014,Gaiyar (Rumrual),Tonj ,7.911944444444445,28.631944444444446,7.911944444444445 28.631944444444446
197,2014,Mouralol/Warngap,Tonj ,7.782777777777778,28.79861111111111,7.782777777777778 28.79861111111111
198,2014,Pajiing,Tonj ,7.893888888888888,28.175555555555555,7.893888888888888 28.175555555555555
199,2014,Nguetawan,Tonj ,8.069444444444445,28.185277777777777,8.069444444444445 28.185277777777777
200,2014,Yelbok,Tonj ,8.002222222222223,28.11777777777778,8.002222222222223 28.11777777777778
201,2014,Athieng,Tonj ,7.9275,29.321944444444444,7.9275 29.321944444444444
202,2014,Tabarachuol ,Tonj ,7.918333333333333,28.343611111111112,7.918333333333333 28.343611111111112
203,2014,Agumot,Tonj ,8.002222222222223,29.334722222222222,8.002222222222223 29.334722222222222
204,2014,Panyanbech ,Tonj ,7.891388888888889,29.576944444444443,7.891388888888889 29.576944444444443
205,2014,Ajiecwel,Tonj ,8.088888888888889,29.523333333333333,8.088888888888889 29.523333333333333
206,2014,Patiaw,Tonj ,7.920555555555556,29.058333333333334,7.920555555555556 29.058333333333334
207,2014,Achuilkot ,Tonj ,8.364722222222223,29.06722222222222,8.364722222222223 29.06722222222222
208,2014,Yomkot,Tonj ,8.596666666666668,28.97861111111111,8.596666666666668 28.97861111111111
209,2014,Ngap  Deng Noon ,Tonj ,8.355277777777777,29.10861111111111,8.355277777777777 29.10861111111111
210,2014,Akolawet,Tonj ,8.305277777777777,28.839722222222225,8.305277777777777 28.839722222222225
211,2014,Angotgep,Tonj ,8.295277777777779,28.768888888888892,8.295277777777779 28.768888888888892
212,2014,Lacdiitwut ,Gogrial,8.391111111111112,28.47361111111111,8.391111111111112 28.47361111111111
213,2014,Manyang,Gogrial,8.137500000000001,28.40388888888889,8.137500000000001 28.40388888888889
214,2014,Wuntim,Gogrial,8.31388888888889,28.264722222222222,8.31388888888889 28.264722222222222
215,2014,Wunngot,Gogrial,8.1575,28.255833333333335,8.1575 28.255833333333335
216,2014,Samut,Wau,7.9375,28.18777777777778,7.9375 28.18777777777778
217,2014,Alalnhom,Wau,7.91,28.09416666666667,7.91 28.09416666666667
218,2015,Kuanya,Wau,7.812222222222222,28.13138888888889,7.812222222222222 28.13138888888889
223,2015,Mawut,Gogrial,8.458333333333334,28.521944444444443,8.458333333333334 28.521944444444443
224,2015,Chueiakol,Gogrial,8.382777777777777,28.406111111111112,8.382777777777777 28.406111111111112
227,2015,Aker Adoor,Gogrial,8.396111111111113,28.692500000000003,8.396111111111113 28.692500000000003
228,2015,Aker Abuok,Gogrial,8.52,27.445833333333333,8.52 27.445833333333333
242,2015,Watagok,Gogrial,8.35361111111111,28.446944444444444,8.35361111111111 28.446944444444444
256,2015,Mayen-Amith,Wau,7.899444444444445,28.22222222222222,7.899444444444445 28.22222222222222
257,2015,Achuirdit,Wau,7.899444444444445,28.22138888888889,7.899444444444445 28.22138888888889
262,2016,Wun-nyok,Twic,9.431944444444444,28.566111111111113,9.431944444444444 28.566111111111113
263,2016,Mager,Gogrial,9.005833333333333,28.295277777777777,9.005833333333333 28.295277777777777
264,2016,Atuet,Gogrial,9.075000000000001,28.289722222222224,9.075000000000001 28.289722222222224
265,2016,Panliet Market,Gogrial,9.039444444444445,28.416944444444443,9.039444444444445 28.416944444444443
267,2016,Atokngar,Gogrial,8.783333333333333,28.218611111111112,8.783333333333333 28.218611111111112
268,2016,Lilthok,Gogrial,8.858333333333333,28.34722222222222,8.858333333333333 28.34722222222222
270,2016,Wunkech,Gogrial,8.704166666666666,28.26138888888889,8.704166666666666 28.26138888888889
271,2016,Warngap,Gogrial,8.718333333333334,28.2575,8.718333333333334 28.2575
273,2016,Mabior Dong,Gogrial,8.189722222222223,28.191666666666666,8.189722222222223 28.191666666666666
274,2016,Kuenycariik,Gogrial,8.081944444444446,28.235555555555557,8.081944444444446 28.235555555555557
275,2016,Hel-Jadid,Wau,7.755,28.256666666666664,7.755 28.256666666666664
276,2016,Mawach,Wau,8.00361111111111,28.273333333333333,8.00361111111111 28.273333333333333
277,2016,Eastern Bank Football Field,Wau,7.8997222222222225,28.215833333333332,7.8997222222222225 28.215833333333332
278,2016,Malualkuel,Wau,7.844166666666666,28.103055555555557,7.844166666666666 28.103055555555557
279,2016,Wau South Epsicopal Church,Wau,7.768888888888889,28.076666666666668,7.768888888888889 28.076666666666668
283,2017,Chuei Ajang,Wau,8.027777777777779,28.22888888888889,8.027777777777779 28.22888888888889
284,2017,Tit- Marol,Wau,8.0,28.002777777777776,8.0 28.002777777777776
285,2017,Lith Angui ,Wau,8.13388888888889,28.113055555555555,8.13388888888889 28.113055555555555
286,2017,Liethok ,Wau ,8.102222222222222,28.328055555555554,8.102222222222222 28.328055555555554
287,2017,Manyang-Nyorich ,Wau,8.033333333333333,28.2,8.033333333333333 28.2
288,2017,Akoc-Chok,Wau,8.261666666666667,28.37638888888889,8.261666666666667 28.37638888888889
289,2017,Pathich ,Wau,0.11666666666666667,28.269166666666667,0.11666666666666667 28.269166666666667
290,2017,Mangar Adet,Wau,8.356666666666666,28.15,8.356666666666666 28.15
291,2017,Athiaan Akuei,Wau,8.28638888888889,28.383611111111108,8.28638888888889 28.383611111111108
292,2017,Angobich,Wau,8.083333333333334,28.369444444444447,8.083333333333334 28.369444444444447
293,2017,Ror-Atiny,Gogrial,8.825555555555555,28.499166666666667,8.825555555555555 28.499166666666667
294,2017,Warkot ,Gogrial,8.278611111111111,nan,8.278611111111111 nan
295,2017,Marol Ajing,Gogrial,8.369166666666667,28.143888888888892,8.369166666666667 28.143888888888892
296,2017,Rai,Gogrial,8.443055555555556,28.25777777777778,8.443055555555556 28.25777777777778
297,2017,Dutcuar,Gogrial,8.454444444444444,28.130833333333335,8.454444444444444 28.130833333333335
298,2017,Adhothok,Gogrial,8.302222222222223,28.23916666666667,8.302222222222223 28.23916666666667
299,2017,Dutcuar Primary School,Gogrial,8.374444444444444,28.16277777777778,8.374444444444444 28.16277777777778
300,2017,War Ding,Gogrial,8.299722222222222,28.090277777777775,8.299722222222222 28.090277777777775
301,2017,Thiou,Gogrial,8.331944444444446,28.157500000000002,8.331944444444446 28.157500000000002
302,2017,Manyang Payam,Gogrial,8.293055555555556,28.324166666666667,8.293055555555556 28.324166666666667
303,2017,Wuntim,Gogrial,8.169722222222221,28.35138888888889,8.169722222222221 28.35138888888889
304,2017,Lorutiu,Gogrial,8.149166666666666,28.433055555555555,8.149166666666666 28.433055555555555
305,2017,Zagolona Primary School,Wau,0.7527777777777778,28.029722222222222,0.7527777777777778 28.029722222222222
306,2018,Luethwek,Aweil East,9.185277777777777,27.772777777777776,9.185277777777777 27.772777777777776
307,2018,Rolthok,Aweil East,9.08,27.676388888888887,9.08 27.676388888888887
308,2018,Pajok,Aweil East,56.0,27.538611111111113,56.0 27.538611111111113
309,2018,Wathaleu,Aweil East,9.136111111111111,27.593611111111112,9.136111111111111 27.593611111111112
310,2018,Riang-Mal,Aweil East,9.032222222222222,27.595833333333335,9.032222222222222 27.595833333333335
311,2018,Warakoon,Aweil East,9.127222222222223,27.455000000000002,9.127222222222223 27.455000000000002
312,2018,Anguek,Aweil East,8.912222222222223,27.45861111111111,8.912222222222223 27.45861111111111
313,2018,Lueth-Agok,Aweil East,9.005833333333333,27.68111111111111,9.005833333333333 27.68111111111111
314,2018,Kouyic,Aweil East,8.911944444444444,27.58361111111111,8.911944444444444 27.58361111111111
315,2018,Aruelpiu ,Aweil East,9.024444444444445,27.62777777777778,9.024444444444445 27.62777777777778
316,2018,Matiat Cuei,Aweil East,8.905555555555555,27.60333333333333,8.905555555555555 27.60333333333333
317,2018,War-Nyiel ,Aweil East,8.889999999999999,27.5,8.889999999999999 27.5
318,2018,Gukathie,Aweil East,9.096388888888889,27.70361111111111,9.096388888888889 27.70361111111111
319,2018,Kar-Makuach ,Aweil East,8.896944444444445,27.48361111111111,8.896944444444445 27.48361111111111
320,2018,Majook Achien ,Aweil East,8.955277777777779,27.689444444444444,8.955277777777779 27.689444444444444
321,2018,Wut-Nyap,Aweil East,9.04138888888889,27.571666666666665,9.04138888888889 27.571666666666665
322,2018,Abany,Aweil East,9.047777777777778,27.43888888888889,9.047777777777778 27.43888888888889
